0.65 0.70 0.0345 0.0321
0.65 0.70 0.0750 0.0683
0.65 0.70 0.0095 0.0113
0.65 0.70 0.0271 0.0296
0.65 0.70 -0.0766 -0.0735
0.65 0.70 -0.0571 -0.0569
0.65 0.70 0.0465 0.0432
0.65 0.70 0.0750 0.0683
0.65 0.70 0.0183 0.0195
0.65 0.70 0.0271 0.0296
0.65 0.70 -0.1045 -0.0992
0.65 0.70 -0.0777 -0.0777
0.60 0.65 0.0493 0.0446
0.60 0.65 0.0820 0.0750
0.60 0.65 0.0160 0.0182
0.60 0.65 0.0242 0.0271
0.60 0.65 -0.1033 -0.0970
0.60 0.65 -0.0773 -0.0762
0.65 0.70 0.0371 0.0354
0.65 0.70 0.0750 0.0683
0.65 0.70 0.0116 0.0127
0.65 0.70 0.0271 0.0296
0.65 0.70 -0.0796 -0.0774
0.65 0.70 -0.0572 -0.0572
