0.7 0.75 0.0321 0.0296
0.7 0.75 0.0683 0.0620
0.7 0.75 0.0113 0.0130
0.7 0.75 0.0296 0.0317
0.7 0.75 -0.0735 -0.0701
0.7 0.75 -0.0569 -0.0565
0.7 0.75 0.0432 0.0396
0.7 0.75 0.0683 0.0620
0.7 0.75 0.0195 0.0206
0.7 0.75 0.0296 0.0317
0.7 0.75 -0.0992 -0.0777
0.7 0.75 -0.0938 -0.0760
0.7 0.75 0.0127 0.0137
0.7 0.75 0.0683 0.0620
0.7 0.75 0.0354 0.0335
0.7 0.75 0.0296 0.0317
0.7 0.75 -0.0572 -0.0572
0.7 0.75 -0.0774 -0.0750
0.7 0.75 0.0354 0.0335
0.7 0.75 0.0683 0.0620
0.7 0.75 0.0127 0.0137
0.7 0.75 0.0296 0.0317
0.7 0.75 -0.0774 -0.0750
0.7 0.75 -0.0572 -0.0572
